number,companyName,adress,adressBystreet,dateOflicensing,stateOfbusiness,dateOfclosure,startdateOfcessation,duedateOfcessation,dateOfreOpen,areaOfsite,zip,waterwork,numOfmenWorker,yearOfStart,multipleUse,grade,sizeOfsite,numOfwomenWorker,vicintyOfsite,sanitaryName,businessCondition,totalOfworker
1,#11(Sharp eleven),서울특별시 양천구 목동 956번지 롯데캐슬위너 상가동 107호(한두3길 44) ,"서울특별시 양천구 목동중앙북로 38 (목동,롯데캐슬위너 상가동 107호(한두3길 44))",20080917,운영중,,,,,,,상수도전용,,2008,N,,20.8,,,휴게음식점,커피숍,
2,( 주)커피빈코리아청주지웰시티점,"충청북도 청주시 흥덕구 복대동 3379번지 신영지웰시티1차상업시설 124-1, 125, 126호(1층) ","충청북도 청주시 흥덕구 대농로 17 (복대동,신영지웰시티1차상업시설 124-1, 125, 126호(1층))",20101124,운영중,,,,,,,상수도전용,,2010,N,,212.72,,,휴게음식점,커피숍,
3,(aA)더블에이,경상북도 경산시 사동 39번지 108-2호,"경상북도 경산시 백자로10길 3-11, 108-2호 (사동)",20130902,운영중,,,,,,,상수도전용,,2013,N,,20.04,,아파트지역,휴게음식점,커피숍,
4,(강서)카페치따,서울특별시 강서구 등촌동 63-12번지 외 2필지 어위쉬예다인 (지상 1층) 104호,"서울특별시 강서구 양천로 452, 1층 104호 (등촌동, 3동 어위쉬예다인)",20121108,운영중,,,,,,,상수도전용,,2012,N,,64.17,,,휴게음식점,커피숍,
5,(로즈버드)명동아바타,서울특별시 중구 명동2가 83-5번지 (아바타1층1218) ,,20020911,폐업 등,20071105,,,,,,상수도전용,0,2002,N,,11.4,0,,휴게음식점,커피숍,0
6,(루앤비카페(Lu n B cafe),충청북도 청주시 서원구 사직동 720-31번지 외7필지 (1층) ,"충청북도 청주시 서원구 사직대로 246 (사직동,  (1층))",20130822,운영중,,,,,,,상수도전용,,2013,N,,10.99,,,휴게음식점,커피숍,
7,(사)꿈이자라는땅,충청남도 태안군 태안읍 동문리 453-2번지 ,충청남도 태안군 태안읍 대지길 24,20140605,운영중,,,,,,,상수도전용,,2014,N,,67.5,,,휴게음식점,커피숍,
8,(사)테크테리아,광주광역시 북구 대촌동 958-3번지 본부동 1층(126호) ,"광주광역시 북구 첨단과기로 333, 본부동 1층 126호 (대촌동)",20111209,운영중,,,,,,,상수도전용,,2011,N,,46.05,,기타,휴게음식점,커피숍,
9,(사)행복을나누는사람들행복한동행,"경기도 부천시 소사구 송내동 576-2번지 ,휴&유병원 1층 ","경기도 부천시 소사구 심곡로10번길 63, 1층 (송내동, 휴&유병원)",20130315,운영중,,,,,,,상수도전용,,2013,N,,8.2,,,휴게음식점,커피숍,
10,(사)현명한농부,광주광역시 북구 우산동 633-4번지 1층 ,"광주광역시 북구 중문로 59 (우산동,1층)",20110908,운영중,,,,,,,상수도전용,,2011,N,,39.92,,기타,휴게음식점,커피숍,
11,(스위트존세번째이야기)푸른섬,서울특별시 종로구 내자동 112-3번지 101호 (지상1층) ,,20080620,폐업 등,20090504,,,,,,,,2008,N,기타,23.33,,학교정화(상대),휴게음식점,커피숍,
12,(유)바늘쟁이,전라남도 순천시 조례동 1620-2번지 1층 ,"전라남도 순천시 장선배기길 70, 1층 (조례동)",20140317,운영중,,,,,,,상수도전용,,2014,N,,27.95,,기타,휴게음식점,커피숍,
13,(유)씨네구백,전라남도 순천시 덕암동 151번지 칼라힐아울렛(5층) ,"전라남도 순천시 충효로 15 (덕암동,칼라힐아울렛(5층))",20100127,운영중,,,,,,,상수도전용,,2010,N,,116.85,,기타,휴게음식점,커피숍,
14,(유)엠에프리테일 노원점,서울특별시 노원구 상계동 292-1번지 와우쇼핑몰3층 ,"서울특별시 노원구 노해로 507, 3층 (상계동, 와우쇼핑몰)",20141028,운영중,,,,,,,,,2014,N,,3.36,,,휴게음식점,커피숍,
15,(유)자람터라스또리아,전라남도 목포시 상동 713-46번지 ,전라남도 목포시 옥암로 149 (상동),20110811,운영중,,,,,,,상수도전용,,2011,N,,36,2,기타,휴게음식점,커피숍,
16,(유)코올엔터테인먼트반디아미르핑크점,전라남도 목포시 무안동 3-5번지 ,,20060829,폐업 등,20070827,,,,,,상수도전용,0,2006,N,,43,2,기타,휴게음식점,커피숍,2
17,(유)헐리우드시네마,전라북도 남원시 쌍교동 82-1번지 ,,20090624,폐업 등,20091123,,,,,,상수도전용,,2009,N,,15.46,,,휴게음식점,커피숍,
18,(일산시장점)이디야 커피전문점,경기도 고양시 일산서구 일산동 606-1번지 씨티프라자 107호,"경기도 고양시 일산서구 원일로 69, 107호 (일산동, 씨티프라자)",20140828,운영중,,,,,,,,,2014,N,,43.27,,,휴게음식점,커피숍,
19,(재)경기문화재단전곡선사박물관,경기도 연천군 전곡읍 전곡리 176-1번지 ,경기도 연천군 전곡읍 평화로 443-2,20110714,운영중,,,,,,,상수도전용,,2011,N,,200.77,,,휴게음식점,커피숍,
20,(재)순천성가롤로병원 장례식장,전라남도 순천시 조례동 1742번지 외3필지 사동(1층) ,"전라남도 순천시 순광로 221, 사동 1층 (조례동)",20130410,운영중,,,,,,,상수도전용,,2013,N,,69.56,,,휴게음식점,커피숍,
21,(재)천주교수원교구유지재단안성추모공원,경기도 안성시 보개면 북가현리 산 49-1번지 ,경기도 안성시 보개면 보삼로 319-34,20110427,운영중,,,,,,,지하수전용,,2011,N,,14.5,,,휴게음식점,커피숍,
22,(재)케이티그룹희망나눔재단 신사점(위드미),서울특별시 강남구 신사동 603번지 ,"서울특별시 강남구 논현로 854, 1층 (신사동, KT신사빌딩)",20150526,운영중,,,,,,,,,2015,N,,173.51,,,휴게음식점,커피숍,
23,(재)한국도자재단 여주도자세상,경기도 여주시 천송동 301-1번지 ,경기도 여주시 신륵사길 7,20110609,운영중,,,,,,,상수도전용,,2011,N,,150,,,휴게음식점,커피숍,
24,(주) 다빈치 중앙점,"대구광역시 중구 삼덕동1가 0018-0012번지 지상1,2,3,4층 ",대구광역시 중구 동성로5길 37 (삼덕동1가),20110201,운영중,,,,,,,상수도전용,7,2011,N,자율,490.42,8,유흥업소밀집지역,휴게음식점,커피숍,15
25,(주) 리투스코리아,서울특별시 종로구 청운동 108-21번지 ,"서울특별시 종로구 자하문로 100-1, 1층 (청운동)",20150513,운영중,,,,,,,,,2015,N,,16.5,,,휴게음식점,커피숍,
26,(주) 아워홈카페그랑카이스트점,대전광역시 유성구 구성동 23번지 외10필지 지상1층 C-5 학생회관 A호,"대전광역시 유성구 대학로 291, 지상1층 학생회관 A호 (구성동, 외 10필지 C-5)",20090831,운영중,,,,,,,상수도전용,,2009,N,,81.24,,기타,휴게음식점,커피숍,
27,(주) 알프레도,서울특별시 강남구 논현동 107-45번지 지상1층 ,"서울특별시 강남구 학동로43길 35, 지상1층 (논현동)",20140717,운영중,,,,,,,,,2014,N,,94.08,,,휴게음식점,커피숍,
28,(주) 후니드 SBS프리즘타워cafe,서울특별시 마포구 상암동 1607-1번지 ,"서울특별시 마포구 상암산로 82 (상암동, SBS프리즘타워 17층)",20120829,운영중,,,,,,,,,2012,N,,19.79,,,휴게음식점,커피숍,
29,(주) 휴먼앤 모터스 (커피위드),서울특별시 은평구 역촌동 68-55번지 1층 ,"서울특별시 은평구 연서로3길 36-1 (역촌동, 1층)",20141027,운영중,,,,,,,상수도전용,,2014,N,자율,19.8,,학교정화(상대),휴게음식점,커피숍,
30,(주) 휴먼푸드 보다카페,인천광역시 연수구 송도동 30-3번지 30-3외 1필지 A동 4-1호 ,"인천광역시 연수구 인천타워대로 323 (송도동, 30-3외 1필지 A동 4-1호)",20150408,운영중,,,,,,,,,2015,N,,16.1,,,휴게음식점,커피숍,
31,(주)TGF인터네셔널,부산광역시 부산진구 양정동 272-8번지 지상1층전체 ,"부산광역시 부산진구 중앙대로 954-1 (양정동, 지상1층전체)",20130416,운영중,,,,,,,상수도전용,,2013,N,자율,183,,주택가주변,휴게음식점,커피숍,
32,(주)가렛코리아,서울특별시 동대문구 용두동 254-1번지 1층 ,"서울특별시 동대문구 무학로23길 34, 1층 (용두동)",20140605,폐업 등,20140829,,,,,,,,2014,N,,40,,,휴게음식점,커피숍,
33,(주)가배두림,"서울특별시 서대문구 대현동 56-2번지 ,55,56,85,123,131,132,133,134,135,136 (지하1층) ","서울특별시 서대문구 이화여대길 59 (대현동,,55,56,85,123,131,132,133,134,135,136 (지하1층))",20080312,운영중,,,,,,,상수도전용,,2008,N,,218.3,,,휴게음식점,커피숍,
34,(주)거제씨월드,경상남도 거제시 일운면 소동리 478-1번지 (2층)거제씨월드 ,"경상남도 거제시 일운면 지세포해안로 15, 2층 (거제씨월드)",20140411,운영중,,,,,,,상수도전용,,2014,N,,14.7,,,휴게음식점,커피숍,
35,(주)건창푸드시스템,서울특별시 서초구 양재동 15-15번지 1층 ,"서울특별시 서초구 남부순환로356길 78, 1층 (양재동)",20121228,운영중,,,,,,,,,2012,N,,80.69,,,휴게음식점,커피숍,
36,(주)경북캐터링대구한의대3호점,경상북도 경산시 여천동 240-3번지 외1필지 본관동 ,"경상북도 경산시 어봉지길 285-10, 본관동 (여천동, 대구한의대오성캠퍼스)",20120918,운영중,,,,,,,상수도전용,,2012,N,,25.2,,학교정화(절대),휴게음식점,커피숍,
37,(주)경원유통부평점,인천광역시 부평구 산곡동 311-151번지 현대부평몰B/35 ,,20040520,폐업 등,20051111,,,,,,상수도전용,0,2004,N,,11.2,0,아파트지역,휴게음식점,커피숍,0
38,(주)경희매니지먼트컴퍼니,경기도 용인시 기흥구 서천동 1번지 경희대학교 예술디자인대학 1층내 ,"경기도 용인시 기흥구 덕영대로 1732 (서천동, 경희대학교 예술디자인대학 1층내)",20130311,운영중,,,,,,,상수도전용,,2013,N,,95.7,,,휴게음식점,커피숍,
39,(주)고메베이글,울산광역시 남구 삼산동 1521-1번지 (지하1층) ,,20090303,폐업 등,20101103,,,,,,상수도전용,,2009,N,,9,,,휴게음식점,커피숍,
40,(주)공상플래닝,서울특별시 마포구 서교동 331-15번지 서정빌딩 201호 ,,20101202,폐업 등,20110323,,,,,,,,2010,N,,44.4,,,휴게음식점,커피숍,
41,(주)공차안산고잔점,"경기도 안산시 단원구 고잔동 771-3번지 로데오타운 134, 135, 140, 141호 ","경기도 안산시 단원구 광덕대로 154 (고잔동, 로데오타운 134, 135, 140, 141호)",20140204,운영중,,,,,,,상수도전용,,2014,N,,157.08,,,휴게음식점,커피숍,
42,(주)공차코리아,서울특별시 서대문구 창천동 30-33번지 ,"서울특별시 서대문구 신촌로 83, 지하1층 (창천동)",20120801,운영중,,,,,,,,,2012,N,,29.83,,,휴게음식점,커피숍,
43,(주)공차코리아,서울특별시 노원구 공릉동 680번지 태릉입구역사내 지하1층 ,,20141104,운영중,,,,,,,,,2014,N,,30.97,,,휴게음식점,커피숍,
44,(주)공차코리아,경기도 부천시 원미구 중동 1164번지 외 3필지 현대백화점 중동점 백화점동 지하1층 ,"경기도 부천시 원미구 길주로 180 (중동, 외 3필지 현대백화점 중동점 백화점동 지하1층)",20130411,운영중,,,,,,,,,2013,N,,10.78,,,휴게음식점,커피숍,
45,(주)공차코리아,서울특별시 광진구 화양동 164-1번지 7호선 어린이대공원역 지하1층 726-1705호 ,"서울특별시 광진구 능동로 지하 210, 지하1층 726-1705호 (화양동, 7호선 어린이대공원역)",20141104,운영중,,,,,,,,,2014,N,,58.71,,,휴게음식점,커피숍,
46,(주)공차코리아,경기도 수원시 팔달구 매산로1가 18번지 ,"경기도 수원시 팔달구 덕영대로 924, 지하1층 (매산로1가, 수원애경역사 AK플라자)",20130514,운영중,,,,,,,,,2013,N,,9,,,휴게음식점,커피숍,
47,(주)공차코리아,서울특별시 중구 남대문로2가 123번지 본 영프라자 3층 ,"서울특별시 중구 남대문로 67, 3층 (남대문로2가, 본 영프라자)",20120926,운영중,,,,,,,,,2012,N,,34.2,,,휴게음식점,커피숍,
48,(주)공차코리아,서울특별시 구로구 신도림동 692번지 대성디큐브시티 지하2층 ,"서울특별시 구로구 경인로 662 (신도림동, 대성디큐브시티 지하 2층)",20120906,운영중,,,,,,,상수도전용,,2012,N,,19.51,,,휴게음식점,커피숍,
49,(주)공차코리아 도곡점,서울특별시 강남구 도곡동 467-7번지 ,"서울특별시 강남구 언주로30길 21, A동 105-1호 (도곡동, 아카데미스위트)",20140814,운영중,,,,,,,,,2014,N,,45.1,,,휴게음식점,커피숍,
50,(주)공차코리아 롯데영등포점,서울특별시 영등포구 영등포동 618-496번지 지하1층 ,"서울특별시 영등포구 경인로 846, 지하1층 (영등포동)",20121022,운영중,,,,,,,,,2012,N,,27.1,,,휴게음식점,커피숍,
51,(주)공차코리아 미금역점,경기도 성남시 분당구 구미동 507-13번지 미금역구내 ,,20141002,운영중,,,,,,,상수도전용,,2014,N,,38.61,,,휴게음식점,커피숍,
52,(주)공차코리아 부산현대백화점,부산광역시 동구 범일동 62-5번지 ,부산광역시 동구 범일로 125 (범일동),20140228,운영중,,,,,,,,,2014,N,,22.5,,,휴게음식점,커피숍,
53,(주)공차코리아 파르나스몰점,서울특별시 강남구 삼성동 159-8번지 ,"서울특별시 강남구 테헤란로 521, 지하1층 R-30호 (삼성동)",20140916,운영중,,,,,,,,,2014,N,,28.37,,,휴게음식점,커피숍,
54,(주)공차코리아 현대백화점 킨텍스점,경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 지하1층 일부 ,,20120912,운영중,,,,,,,상수도전용,,2012,N,,5.61,,,휴게음식점,커피숍,
55,(주)공차코리아 현대압구정점,서울특별시 강남구 압구정동 429번지 현대백화점 압구정점 ,"서울특별시 강남구 압구정로 165 (압구정동, 현대백화점 압구정점)",20130801,운영중,,,,,,,,,2013,N,,18.4,,,휴게음식점,커피숍,
56,(주)공차코리아 현대천호점,서울특별시 강동구 천호동 455-8번지 현대백화점 지하1층 ,"서울특별시 강동구 천호대로 1005, 지하 1층 (천호동, 현대백화점)",20130805,운영중,,,,,,,,,2013,N,,15,,,휴게음식점,커피숍,
57,(주)공차코리아(여의도현대증권점),서울특별시 영등포구 여의도동 34-4번지 현대증권 지상1층 ,"서울특별시 영등포구 여의나루로4길 21 (여의도동, 현대증권 지상1층)",20140204,운영중,,,,,,,,,2014,N,,80.7,,,휴게음식점,커피숍,
58,(주)공차코리아(와이즈파크광복점),부산광역시 중구 창선동1가 12-1번지 와이즈파크 1층 ,"부산광역시 중구 광복로39번길 6, 1층 (창선동1가, 와이즈파크)",20140324,운영중,,,,,,,상수도전용,,2014,N,,57.52,,,휴게음식점,커피숍,
59,(주)공차코리아(잠실롯데몰점),서울특별시 송파구 신천동 29번지 지하1층 캐주얼동 ,"서울특별시 송파구 올림픽로 300, 캐주얼동 지하1층 (신천동)",20141007,운영중,,,,,,,,,2014,N,,42.99,,,휴게음식점,커피숍,
60,(주)공차코리아(타임스퀘어점),서울특별시 영등포구 영등포동4가 442번지 타임스퀘어 지상2층 ,"서울특별시 영등포구 영중로 15 (영등포동4가, 타임스퀘어 지상2층)",20131017,운영중,,,,,,,,,2013,N,,21.95,,,휴게음식점,커피숍,
61,(주)공차코리아평택AK점,경기도 평택시 평택동 185-568번지 ,"경기도 평택시 평택로 51, 지하1층 (평택동)",20140206,운영중,,,,,,,상수도전용,,2014,N,,9.9,,기타,휴게음식점,커피숍,
62,(주)공차코리아홍대오버더디쉬점,서울특별시 마포구 서교동 486번지 서교푸르지오 지201호일부 ,"서울특별시 마포구 홍익로 10, 101동 지2층 (서교동, 서교푸르지오 지201호일부)",20141031,운영중,,,,,,,,,2014,N,,15.3,,,휴게음식점,커피숍,
63,(주)국제정보통신온네이쳐서판교점,경기도 성남시 분당구 운중동 979-4번지 1층일부 ,,20110622,폐업 등,20121231,,,,,,상수도전용,,2011,N,,14.86,,,휴게음식점,커피숍,
64,(주)그라스빈 둔촌지점,서울특별시 강동구 성내동 429-3번지 1층 ,"서울특별시 강동구 양재대로 1335, 1층 (성내동)",20120926,폐업 등,20131121,,,,,,,,2012,N,,99.21,,,휴게음식점,커피숍,
65,(주)그림커피,서울특별시 서초구 양재동 91-6번지 4층 ,"서울특별시 서초구 양재천로23길 2, 4층 (양재동)",20140805,운영중,,,,,,,,,2014,N,,26,,,휴게음식점,커피숍,
66,(주)글로리아진스커피코리아,서울특별시 영등포구 여의도동 23-2번지 (지상1층) ,"서울특별시 영등포구 여의대로 70 (여의도동,(지상1층))",20100811,운영중,,,,,,,,,2010,N,,264.03,,,휴게음식점,커피숍,
67,(주)금비인터내셔널 온뜨레 대구지점,대구광역시 중구 동성로2가 0084-0006번지 지상2층 ,,20071220,폐업 등,20090115,,,,,,상수도전용,,2007,N,자율,62.5,2,유흥업소밀집지역,휴게음식점,커피숍,
68,(주)금진생명과학,강원도 강릉시 옥계면 금진리 92-1번지 ,,20090810,폐업 등,20110503,,,,,,지하수전용,1,2009,N,자율,89.06,1,기타,휴게음식점,커피숍,2
69,(주)김녕요트투어,제주특별자치도 제주시 구좌읍 김녕리 4212-1번지 ,,20090515,폐업 등,20090603,,,,,,,,2009,N,,50,,,휴게음식점,커피숍,
70,(주)꼬끼오커피베이동두천지점,경기도 동두천시 송내동 699-1번지 ,경기도 동두천시 평화로2229번길 10-35 (송내동),20130610,폐업 등,20130816,,,,,,,,2013,N,,32.16,,,휴게음식점,커피숍,
71,(주)나무와아이경기신세계점,경기도 용인시 수지구 죽전동 1285번지 신세계경기점 6층 ,"경기도 용인시 수지구 포은대로 536 (죽전동, 신세계경기점 6층)",20120820,운영중,,,,,,,상수도전용,,2012,N,,82.43,,,휴게음식점,커피숍,
72,(주)나이스커피시스템 압구정점,서울특별시 강남구 압구정동 426번지 ,"서울특별시 강남구 압구정로 151, 2동 지상1층 101호 (압구정동)",20150423,운영중,,,,,,,,,2015,N,,32.11,,,휴게음식점,커피숍,
73,(주)나주레,전라북도 전주시 덕진구 덕진동1가 664-6번지 원플러스상가108호 ,"전라북도 전주시 덕진구 권삼득로 333 (덕진동1가, 원플러스상가108호)",20130520,운영중,,,,,,,상수도전용,,2013,N,,46.87,,기타,휴게음식점,커피숍,
74,(주)네스트힐,제주특별자치도 제주시 한림읍 협재리 598-1번지 ,제주특별자치도 제주시 한림읍 명월성로 394,20040920,운영중,,,,,,,,,2004,N,,0,,,휴게음식점,커피숍,
75,(주)네추럴티어스명동지점,"서울특별시 중구 충무로1가 22-4번지 지상1,2층 ","서울특별시 중구 명동8나길 18 (충무로1가,지상1,2층)",20091202,폐업 등,20141231,,,,,,상수도전용,,2009,N,,310.53,,,휴게음식점,커피숍,
76,(주)노아스,서울특별시 서대문구 연희동 128-25번지 ,"서울특별시 서대문구 연희로11나길 5, 1층 (연희동)",20120813,운영중,,,,,,,,,2012,N,,124.92,,,휴게음식점,커피숍,
77,(주)농업법인쿱스토어목동파리공원점,서울특별시 양천구 목동 907-23번지 현대파크빌1층 101호,"서울특별시 양천구 목동동로 391, 1층 101호 (목동, 현대파크빌)",20140818,운영중,,,,,,,,,2014,N,,21.24,,,휴게음식점,커피숍,
78,(주)농협홍삼카페테리아(경기도체육회),경기도 수원시 장안구 정자동 27-10번지 ,경기도 수원시 장안구 장안로 134 (정자동),20140811,운영중,,,,,,,,,2014,N,,49.4,,,휴게음식점,커피숍,
79,(주)농협홍삼커피전문점 판교공공지원센터점,경기도 성남시 분당구 삼평동 629번지 판교테크노밸리공공지원센터1층 카페테리아 ,"경기도 성남시 분당구 대왕판교로645번길 12 (삼평동, 판교테크노밸리공공지원센터1층 카페테리아)",20140714,운영중,,,,,,,,,2014,N,,69.28,,기타,휴게음식점,커피숍,
80,(주)농협홍삼커피전문점(희망공원점),경기도 시흥시 정왕동 1358번지 1층 ,경기도 시흥시 군자천로131번길 64 (정왕동),20140410,운영중,,,,,,,,,2014,N,,0,,,휴게음식점,커피숍,
81,(주)누보할리스커피 대전이마트점,대전광역시 서구 둔산동 959-2번지 ,,20020419,폐업 등,20050307,,,,,,상수도전용,0,2002,N,,91.41,0,기타,휴게음식점,커피숍,0
82,(주)뉴타운에너지,경기도 안성시 계동 65번지 ,경기도 안성시 안성맞춤대로 862 (계동),20140528,운영중,,,,,,,상수도전용,,2014,N,,5.6,,,휴게음식점,커피숍,
83,(주)다문화카페우리,경기도 성남시 분당구 서현동 276-2번지 1층 일부 ,"경기도 성남시 분당구 황새울로311번길 9 (서현동, 1층 일부)",20111201,운영중,,,,,,,상수도전용,,2011,N,,93.9,,,휴게음식점,커피숍,
84,(주)다빈치 2.28공원점,대구광역시 중구 공평동 0022-0004번지 ,대구광역시 중구 동성로2길 69 (공평동),20040219,운영중,,,,,,,상수도전용,0,2004,N,자율,113.52,2,기타,휴게음식점,커피숍,2
85,(주)다빈치 공원점,"대구광역시 중구 공평동 0022-0003번지 지상2,3,4층 ",대구광역시 중구 동성로2길 69 (공평동),20080717,운영중,,,,,,,상수도전용,3,2008,N,자율,306.44,3,유흥업소밀집지역,휴게음식점,커피숍,6
86,(주)다빈치 대구수목원가는길,대구광역시 달서구 대곡동 1023번지 외1필지 ,"대구광역시 달서구 화암로 378, 1,2층 (대곡동)",20111013,운영중,,,,,,,상수도전용,,2011,N,,514.6,,기타,휴게음식점,커피숍,
87,(주)다빈치 스타디움몰점,대구광역시 수성구 대흥동 504번지 ,대구광역시 수성구 유니버시아드로 140 (대흥동),20110901,운영중,,,,,,,상수도전용,,2011,N,,213.65,,,휴게음식점,커피숍,
88,(주)다빈치 용산꿈에대화점,대구광역시 달서구 용산동 0931-0003번지 ,"대구광역시 달서구 용산서로 4-21, 1층 (용산동)",20121129,운영중,,,,,,,상수도전용,,2012,N,,191.1,,기타,휴게음식점,커피숍,
89,(주)다빈치 자이유점,대구광역시 중구 삼덕동1가 0015-0001번지 ,"대구광역시 중구 동성로3길 35 (삼덕동1가, 지상3층)",20121212,폐업 등,20131210,,,,,,,,2012,N,,70.5,,,휴게음식점,커피숍,
90,(주)다빈치 팔공산의 아침점,대구광역시 동구 중대동 789-1번지 ,대구광역시 동구 파계로 630 (중대동),20130711,운영중,,,,,,,지하수전용,2,2013,N,자율,473.34,2,기타,휴게음식점,커피숍,4
91,(주)다빈치대백점,대구광역시 중구 동성로2가 0166-0001번지 대구백화점 지하1층 ,"대구광역시 중구 동성로 30, 2층 (동성로2가, 대구백화점)",20051013,운영중,,,,,,,상수도전용,1,2005,N,자율,80.64,3,기타,휴게음식점,커피숍,4
92,(주)다빈치범어점,"대구광역시 수성구 범어동 561-5번지 (1,2,3층) ","대구광역시 수성구 달구벌대로 2400 (범어동,(1,2,3층))",20100601,운영중,,,,,,,상수도전용,,2010,N,,202.92,,유흥업소밀집지역,휴게음식점,커피숍,
93,(주)다빈치앞산충혼점,대구광역시 남구 대명동 506-2번지 ,대구광역시 남구 대명남로 193 (대명동),20110620,운영중,,,,,,,상수도전용,,2011,N,자율,297.58,,기타,휴게음식점,커피숍,
94,(주)다빈치인천점,인천광역시 남동구 구월동 1130번지 씨앤씨빌딩 4층 ,,20061009,폐업 등,20091223,,,,,,상수도전용,0,2006,N,,84.02,0,유흥업소밀집지역,휴게음식점,커피숍,0
95,(주)다빈치제주하늘점,"제주특별자치도 제주시 노형동 1055-1번지 (1층,2층) ",제주특별자치도 제주시 월랑로 35 (노형동),20111227,운영중,,,,,,,상수도전용,,2011,N,,318.52,,,휴게음식점,커피숍,
96,(주)다빈치천안점,충청남도 천안시 동남구 신부동 461-1번지 ,,20040115,폐업 등,20060420,,,,,,상수도전용,0,2004,N,,21.84,0,기타,휴게음식점,커피숍,0
97,(주)다빈치칠곡점,대구광역시 북구 구암동 769-1번지 외 1필지 ,"대구광역시 북구 학정로 422 (구암동,외 1필지)",20090713,폐업 등,20130507,,,,,,상수도전용,4,2009,N,,192.09,1,기타,휴게음식점,커피숍,5
98,(주)다솔코리아,부산광역시 해운대구 재송동 1210번지 벽산e센텀클래스원 107호 ,,20111214,폐업 등,20111215,,,,,,,,2011,N,,0,,,휴게음식점,커피숍,
99,(주)다온제이에스,경기도 이천시 안흥동 408-1번지 ,경기도 이천시 중리천로115번길 45 (안흥동),20030130,운영중,,,,,,,상수도전용,0,2003,N,,65.47,0,,휴게음식점,커피숍,0
100,(주)닥터로빈이대점,서울특별시 서대문구 대현동 11-1번지 이화여자대학교 이화캠퍼스복합단지(지하4층) ,"서울특별시 서대문구 이화여대길 52 (대현동,이화여자대학교 이화캠퍼스복합단지(지하4층))",20080429,운영중,,,,,,,,,2008,N,,303,,,휴게음식점,커피숍,
101,(주)닥터오빈,서울특별시 동작구 흑석동 67-1번지 흑석한강푸르지오상가 106동 B202호 ,"서울특별시 동작구 흑석한강로 27 (흑석동, 흑석한강푸르지오상가 106동 B202호)",20120829,운영중,,,,,,,상수도전용,,2012,N,,60.62,,,휴게음식점,커피숍,
102,(주)닥터케이포뮬러,서울특별시 송파구 가락동 156-10번지 지상1층 ,"서울특별시 송파구 중대로20길 1, 지상1층 (가락동)",20131220,운영중,,,,,,,,,2013,N,,25.31,,,휴게음식점,커피숍,
103,(주)대명레저산업 양평지점 (라바짜),경기도 양평군 개군면 공세리 389-7번지 ,경기도 양평군 개군면 신내길7번길 55,20070730,폐업 등,20150209,,,,,,지하수전용,,2007,N,,29.53,1,기타,휴게음식점,커피숍,
104,(주)대복골프연습장,울산광역시 울주군 웅촌면 대복리 1010번지 (지하1층) ,"울산광역시 울주군 웅촌면 삼동로 지하 1665-8, 1층",20110321,운영중,,,,,,,,,2011,Y,,187.5,,,휴게음식점,커피숍,
105,(주)대주산업 죽전영업소 압구정볶음커피,경기도 용인시 수지구 죽전동 866-2번지 한국도로공사 죽전휴게소 하동 ,"경기도 용인시 수지구 경부고속도로 400 (죽전동, 한국도로공사 죽전휴게소 하동)",20111227,운영중,,,,,,,상수도전용,,2011,N,,44.62,,,휴게음식점,커피숍,
106,(주)대주산업죽전영업소 탐앤탐스커피,경기도 용인시 수지구 죽전동 866-2번지 한국도로공사 죽전휴게소 가동 1층 ,"경기도 용인시 수지구 경부고속도로 400 (죽전동, 한국도로공사 죽전휴게소 가동 1층)",20140813,운영중,,,,,,,상수도전용,,2014,N,,8,,,휴게음식점,커피숍,
107,(주)대청산업개발 동해휴게소(커피숍),"강원도 동해시 망상동 산 5-1번지 , 2층 6동 ","강원도 동해시 동해대로 6437, 6동 2층 (망상동)",20101224,운영중,,,,,,,지하수전용,,2010,N,,69.4,,기타,휴게음식점,커피숍,
108,(주)대청산업개발시화조력문화관휴게소,경기도 안산시 단원구 대부동동 2098번지 ,"경기도 안산시 단원구 대부황금로 1927, 3층 (대부동동)",20140611,운영중,,,,,,,,,2014,N,,96.21,,,휴게음식점,커피숍,
109,(주)더 해봉,충청북도 옥천군 옥천읍 금구리 168-1번지 ,충청북도 옥천군 옥천읍 삼금로 27-2,20110725,폐업 등,20140822,,,,,,상수도전용,,2011,N,,46.46,,,휴게음식점,커피숍,
110,(주)더드림홀딩스(카페드림 세종대학교점),서울특별시 광진구 군자동 98번지 세종대학교 학술정보원 1층 ,"서울특별시 광진구 능동로 209, 1층 (군자동, 세종대학교 학술정보원)",20120921,운영중,,,,,,,,,2012,N,,12.96,,,휴게음식점,커피숍,
111,(주)더스토리,충청북도 청주시 서원구 남이면 가마리 306-1번지 ,충청북도 청주시 서원구 남이면 가마길 40-11,20110830,운영중,,,,,,,,,2011,N,,66.6,,,휴게음식점,커피숍,
112,(주)더원패밀리오드리햅번(청주율량점),충청북도 청주시 청원구 주성동 349번지 1층 ,"충청북도 청주시 청원구 주성로 273 (주성동, 1층)",20141007,운영중,,,,,,,상수도전용,,2014,N,,129.12,,,휴게음식점,커피숍,
113,(주)델리로티,서울특별시 성동구 행당동 212-5번지 지상1층 ,,20081119,폐업 등,20101015,,,,,,,,2008,N,,49.5,,,휴게음식점,커피숍,
