number,companyName,adress,adressBystreet,dateOflicensing,stateOfbusiness,dateOfclosure,startdateOfcessation,duedateOfcessation,dateOfreOpen,areaOfsite,zip,waterwork,numOfmenWorker,yearOfStart,multipleUse,grade,sizeOfsite,numOfwomenWorker,vicintyOfsite,sanitaryName,businessCondition,totalOfworker
44235,플라워까페가비(flower cafe 가비),경기도 파주시 동패동 1739-8번지 ,"경기도 파주시 책향기숲길 63, 1층 (동패동)",20140722,운영중,,,,,,,상수도전용,,2014,N,,35.99,,,휴게음식점,커피숍,
44236,플라워나무,서울특별시 성북구 성북동 177-90번지 1층 ,"서울특별시 성북구 성북로8길 3 (성북동, 1층)",20110224,폐업 등,20120720,,,,,,,,2011,N,,16.5,,,휴게음식점,커피숍,
44237,플라워리,서울특별시 양천구 신월동 537-8번지 1층 ,"서울특별시 양천구 신월로 175 (신월동, 1층)",20120214,폐업 등,20130208,,,,,,,,2012,N,,33,,,휴게음식점,커피숍,
44238,플라워스토리 커피앤씨,충청북도 청주시 상당구 용정동 911번지 101호 ,"충청북도 청주시 상당구 호미로201번길 3 (용정동, 101호)",20120613,운영중,,,,,,,상수도전용,,2012,N,,53.98,,,휴게음식점,커피숍,
44239,플라워앤,서울특별시 마포구 서교동 395-171번지 ,"서울특별시 마포구 양화로10길 15 (서교동, IO빌딩 1층 일부)",20130611,운영중,,,,,,,,,2013,N,,83,,,휴게음식점,커피숍,
44240,플라워앤카페,광주광역시 동구 수기동 106-4번지 (1층) ,"광주광역시 동구 천변우로 361-1, 1층 (수기동)",20121130,운영중,,,,,,,상수도전용,,2012,N,,52.71,,유흥업소밀집지역,휴게음식점,커피숍,
44241,플라워앤커피,경상남도 거제시 장평동 56-1번지 (1층)장평종합시장 155호,"경상남도 거제시 장평로 37, 1층 155호 (장평동, 장평종합시장)",20140702,운영중,,,,,,,상수도전용,,2014,N,,18.8,2,기타,휴게음식점,커피숍,
44242,플라워에바&담희,광주광역시 북구 삼각동 577-1번지 (1층) ,"광주광역시 북구 설죽로 436, 1층 (삼각동)",20100930,운영중,,,,,,,상수도전용,,2010,N,,75.4,,,휴게음식점,커피숍,
44243,플라워에이일공오(Flower A105),서울특별시 서초구 양재동 17-41번지 1층 ,"서울특별시 서초구 바우뫼로39길 55, 1층 (양재동)",20111115,운영중,,,,,,,,,2011,N,,24.36,,,휴게음식점,커피숍,
44244,플라워카페,충청남도 금산군 금산읍 상리 28-11번지 ,,20090122,폐업 등,20090203,,,,,,,,2009,N,,0,,,휴게음식점,커피숍,
44245,플라워카페,경기도 고양시 일산동구 장항동 906번지 고양꽃전시관 1층일부 ,,20131120,운영중,,,,,,,상수도전용,,2013,N,,13.5,,,휴게음식점,커피숍,
44246,플라워카페,경기도 화성시 정남면 신리 260-8번지 (108호) ,경기도 화성시 정남면 서봉로 1006-4 (신리260-8번지 108호),20120329,폐업 등,20140303,,,,,,상수도전용,,2012,N,,90,,,휴게음식점,커피숍,
44247,플라워카페,경기도 화성시 향남읍 행정리 487-1번지 삼성홈플러스  2층 ,"경기도 화성시 향남읍 향남로 402, 2층 (삼성홈플러스)",20110311,폐업 등,20141229,,,,,,상수도전용,,2011,N,,18.34,,,휴게음식점,커피숍,
44248,플라워카페,인천광역시 부평구 산곡동 369-464번지 ,"인천광역시 부평구 마장로143번길 2, 1층 (산곡동)",20141002,운영중,,,,,,,,,2014,N,,36.96,,,휴게음식점,커피숍,
44249,플라워카페,"경기도 수원시 권선구 권선동 1189번지 NC터미널점, 1층일부 ","경기도 수원시 권선구 경수대로 270, 1층 (권선동, NC터미널점, 1층일부)",20150210,운영중,,,,,,,,,2015,N,,64.58,,,휴게음식점,커피숍,
44250,플라워카페,경기도 용인시 처인구 포곡읍 전대리 519-19번지 1동 ,"경기도 용인시 처인구 포곡읍 에버랜드로 199, 1동",20140324,운영중,,,,,,,상수도전용,,2014,N,,2.38,,,휴게음식점,커피숍,
44251,플라워카페,대구광역시 달성군 논공읍 금포리 1313번지 달성군청 행정동 ,"대구광역시 달성군 논공읍 달성군청로 33, 2층 (달성군청 행정동)",20141230,운영중,,,,,,,상수도전용,,2014,N,,8.29,,,휴게음식점,커피숍,
44252,플라워카페,경상북도 안동시 평화동 170-29번지 ,경상북도 안동시 서동문로 28-1 (평화동),20120731,운영중,,,,,,,상수도전용,,2012,N,,58.9,,,휴게음식점,커피숍,
44253,플라워카페 사랑,충청북도 영동군 영동읍 계산리 684-18번지 (2층) ,충청북도 영동군 영동읍 중앙로 44 ((2층)),20100311,운영중,,,,,,,상수도전용,,2010,N,,76.7,,,휴게음식점,커피숍,
44254,플라워카페 에일린,서울특별시 구로구 신도림동 432-1번지 SK뷰 101동 102호,"서울특별시 구로구 경인로 638 (신도림동, SK뷰101동 102호)",20120717,운영중,,,,,,,상수도전용,,2012,N,,30.21,,,휴게음식점,커피숍,
44255,플라워카페 휴,경상북도 구미시 인의동 578번지 인동서한이다음 101동 상가동 107호 ,,20100510,폐업 등,20120202,,,,,,상수도전용,,2010,N,,33.44,,,휴게음식점,커피숍,
44256,플라워카페(청솔화원),광주광역시 동구 동명동 143-49번지 1층 ,"광주광역시 동구 백서로 233, 1층 (동명동)",20150313,운영중,,,,,,,,,2015,N,,57.46,,,휴게음식점,커피숍,
44257,플라워카페2호점,경기도 고양시 일산동구 장항동 906번지 호수공원내 선인장전시관 1층일부 ,"경기도 고양시 일산동구 호수로 595 (장항동, 선인장전시관 1층일부)",20140404,운영중,,,,,,,상수도전용,,2014,N,,12,,,휴게음식점,커피숍,
44258,플라워카페꽃수레,경상북도 포항시 남구 상도동 623-4번지 ,경상북도 포항시 남구 상도로 58 (상도동),20130916,운영중,,,,,,,상수도전용,,2013,N,,52.16,,,휴게음식점,커피숍,
44259,플라워카페나무기린,경기도 용인시 처인구 김량장동 133-91번지 2층 ,"경기도 용인시 처인구 금령로 79-2, 2층 (김량장동)",20140127,운영중,,,,,,,상수도전용,,2014,N,,97.94,,,휴게음식점,커피숍,
44260,플라워카페모모,경기도 수원시 장안구 천천동 508-7번지 ,"경기도 수원시 장안구 덕영대로511번길 41, 1층 (천천동)",20100721,운영중,,,,,,,상수도전용,,2010,N,,68.73,,,휴게음식점,커피숍,
44261,플라워카페솜솜,경기도 용인시 처인구 양지면 양지리 502-6번지 1층 ,"경기도 용인시 처인구 양지면 중부대로 2204, 1층",20131125,운영중,,,,,,,지하수전용,,2013,N,,33.12,,,휴게음식점,커피숍,
44262,플라워카페플로레스타,경기도 평택시 합정동 763-3번지 ,경기도 평택시 중앙로 168 (합정동),20111209,운영중,,,,,,,,,2011,N,,52.1,,,휴게음식점,커피숍,
44263,플라워커피숍,경기도 의정부시 가능동 653-12번지 ,"경기도 의정부시 신흥로 377 (가능동, 지상1층)",20110818,운영중,,,,,,,,,2011,N,,38.33,,,휴게음식점,커피숍,
44264,플라워파티,경기도 성남시 분당구 정자동 15-4번지 위브제니스 지하101호 ,,20050509,폐업 등,20051109,,,,,,,0,2005,N,,91.44,0,,휴게음식점,커피숍,0
